ID,Domain,Difficulty_Level,Question,Reference_Answer
159,Data Structures & Algorithms,Medium,Interview Question: What is the time complexity of searching in a max heap?,Searching for an arbitrary element in a max heap takes O(n) time because heaps are not completely sorted like BSTs.
160,AI/ML,Medium,Define and explain: Explain the concept of cross-validation.,"It is a technique used to evaluate ML models by dividing the dataset into multiple folds, training on some and testing on others to ensure the model generalizes well."
161,Core CS & OS,Hard,"Could you explain this: Describe the interaction between fork(), exec(), and wait() in C.",fork() creates a duplicate child process. exec() replaces the child's memory space with a new program. wait() is used by the parent process to pause execution until the child terminates.
162,Data Structures & Algorithms,Hard,Define and explain: How are nodes placed in a Huffman coding tree during construction?,"Nodes are merged based on frequency. When comparing two nodes, the one with the greater frequency (e.g., if 'b' is greater than 'c') is placed on the right branch."
163,Behavioral,Medium,Candidate prompt: How do you handle missing deadlines on a collaborative project?,"I communicate the issue early to the team, take responsibility, and propose a revised timeline or ask for assistance to mitigate the impact."
164,AI/ML,Hard,Candidate prompt: How can chemical structures be processed by machine learning models?,"Chemical structures are often represented using SMILES notation, which can be converted into Morgan fingerprints (numerical arrays) to train models for tasks like reaction prediction."
165,Data Structures & Algorithms,Hard,Please answer the following: How are nodes placed in a Huffman coding tree during construction?,"Nodes are merged based on frequency. When comparing two nodes, the one with the greater frequency (e.g., if 'b' is greater than 'c') is placed on the right branch."
166,Data Structures & Algorithms,Medium,Interview Question: What is the time complexity of searching in a max heap?,Searching for an arbitrary element in a max heap takes O(n) time because heaps are not completely sorted like BSTs.
167,AI/ML,Medium,Define and explain: Explain the concept of cross-validation.,"It is a technique used to evaluate ML models by dividing the dataset into multiple folds, training on some and testing on others to ensure the model generalizes well."
168,Data Structures & Algorithms,Hard,Could you explain this: How are nodes placed in a Huffman coding tree during construction?,"Nodes are merged based on frequency. When comparing two nodes, the one with the greater frequency (e.g., if 'b' is greater than 'c') is placed on the right branch."
169,Core CS & OS,Medium,Could you explain this: Explain the concept of a zombie process.,A zombie process is a child process that has finished execution but still has an entry in the process table because its parent hasn't read its exit status using wait().
170,Core CS & OS,Hard,"Please answer the following: Describe the interaction between fork(), exec(), and wait() in C.",fork() creates a duplicate child process. exec() replaces the child's memory space with a new program. wait() is used by the parent process to pause execution until the child terminates.
171,AI/ML,Medium,How does a Random Forest Classifier make predictions?,"It trains multiple decision trees on subsets of the data and aggregates their outputs (e.g., via majority voting for classification) to improve accuracy and prevent overfitting."
